Algorithm,Size,Time(seconds)
strand,2500,0.000837
intro,2500,0.000110
bubble,2600,0.010451
selection,2600,0.006239
insertion,2600,0.000656
shell,2600,0.000163
heap,2600,0.000159
merge,2600,0.000189
quick,2600,0.000116
comb,2600,0.000159
cocktail,2600,0.011974
cycle,2600,0.005394
gnome,2600,0.010038
tim,2600,0.000095
counting,2600,0.000015
radix,2600,0.000050
bucket,2600,0.000106
pigeonhole,2600,0.000038
bitonic,2600,0.000454
stooge,2600,2.814347
oddeven,2600,0.002592
strand,2600,0.000672
intro,2600,0.000108
bubble,2700,0.010163
selection,2700,0.006798
insertion,2700,0.000678
shell,2700,0.000161
heap,2700,0.000151
merge,2700,0.000209
quick,2700,0.000124
comb,2700,0.000163
cocktail,2700,0.012210
cycle,2700,0.004900
gnome,2700,0.011389
tim,2700,0.000183
counting,2700,0.000016
radix,2700,0.000066
bucket,2700,0.000138
pigeonhole,2700,0.000050
bitonic,2700,0.000518
stooge,2700,2.852812
oddeven,2700,0.002830
strand,2700,0.000661
intro,2700,0.000113
bubble,2800,0.011125
selection,2800,0.007316
insertion,2800,0.000800
shell,2800,0.000185
heap,2800,0.000182
merge,2800,0.000292
quick,2800,0.000139
comb,2800,0.000186
cocktail,2800,0.012380
cycle,2800,0.005333
gnome,2800,0.012859
tim,2800,0.000114
counting,2800,0.000011
radix,2800,0.000045
bucket,2800,0.000203
pigeonhole,2800,0.000042
bitonic,2800,0.000448
stooge,2800,2.799681
oddeven,2800,0.003236
strand,2800,0.000692
intro,2800,0.000108
bubble,2900,0.011721
selection,2900,0.007920
insertion,2900,0.001226
shell,2900,0.000245
heap,2900,0.000231
merge,2900,0.000339
quick,2900,0.000182
comb,2900,0.000206
cocktail,2900,0.013420
cycle,2900,0.005740
gnome,2900,0.014086
tim,2900,0.000146
counting,2900,0.000014
radix,2900,0.000078
bucket,2900,0.000199
pigeonhole,2900,0.000043
bitonic,2900,0.000642
stooge,2900,2.818360
oddeven,2900,0.003378
strand,2900,0.000944
intro,2900,0.000154
